Version	1
Run name	C:\Users\Jenny\Desktop\David A\LSPR Lab 18\skalman_lspr.inr
Export time	2018-02-20 16:58
Pos1 sample	Label for Pos1
Pos2 sample	
Spectrometer integration time	3
Spectrometer sample averages	300
pos1-Centroid_x	pos1-Centroid_y	pos1-FWHM(wp)_x	pos1-FWHM(wp)_y	pos1-FWHM(lw*2)_x	pos1-FWHM(lw*2)_y	pos1-Ext@Peak_x	pos1-Ext@Peak_y	pos1-PeakPos_x	pos1-PeakPos_y	pos1-ExtDiff_x	pos1-ExtDiff_y
6.231250E1	7.553893E2	6.231250E1	2.068866E2	6.231250E1	2.274178E2	6.231250E1	6.264076E-1	6.231250E1	7.543610E2	6.231250E1	2.120642E-1
6.414063E1	7.553830E2	6.414063E1	2.068939E2	6.414063E1	2.274437E2	6.414063E1	6.263553E-1	6.414063E1	7.543558E2	6.414063E1	2.120362E-1
6.596875E1	7.553853E2	6.596875E1	2.066260E2	6.596875E1	2.271335E2	6.596875E1	6.263070E-1	6.596875E1	7.543593E2	6.596875E1	2.120581E-1
6.779688E1	7.553856E2	6.779688E1	2.062787E2	6.779688E1	2.267912E2	6.779688E1	6.260940E-1	6.779688E1	7.543615E2	6.779688E1	2.121308E-1
6.962500E1	7.553938E2	6.962500E1	2.066187E2	6.962500E1	2.272645E2	6.962500E1	6.262743E-1	6.962500E1	7.543680E2	6.962500E1	2.121670E-1
7.145313E1	7.553839E2	7.145313E1	2.066490E2	7.145313E1	2.271528E2	7.145313E1	6.262917E-1	7.145313E1	7.543540E2	7.145313E1	2.120785E-1
7.328125E1	7.553876E2	7.328125E1	2.067613E2	7.328125E1	2.274027E2	7.328125E1	6.263497E-1	7.328125E1	7.543535E2	7.328125E1	2.121567E-1
7.510938E1	7.553971E2	7.510938E1	2.067380E2	7.510938E1	2.274906E2	7.510938E1	6.263836E-1	7.510938E1	7.543698E2	7.510938E1	2.122656E-1
7.693750E1	7.553951E2	7.693750E1	2.068222E2	7.693750E1	2.275140E2	7.693750E1	6.264611E-1	7.693750E1	7.543677E2	7.693750E1	2.121253E-1
7.878125E1	7.553800E2	7.878125E1	2.068184E2	7.878125E1	2.274738E2	7.878125E1	6.263582E-1	7.878125E1	7.543443E2	7.878125E1	2.121476E-1
8.060938E1	7.553882E2	8.060938E1	2.066459E2	8.060938E1	2.273361E2	8.060938E1	6.263614E-1	8.060938E1	7.543543E2	8.060938E1	2.122233E-1
8.243750E1	7.553888E2	8.243750E1	2.065609E2	8.243750E1	2.272653E2	8.243750E1	6.262571E-1	8.243750E1	7.543563E2	8.243750E1	2.122572E-1
8.426563E1	7.553954E2	8.426563E1	2.066888E2	8.426563E1	2.274471E2	8.426563E1	6.263761E-1	8.426563E1	7.543671E2	8.426563E1	2.122245E-1
8.609375E1	7.553871E2	8.609375E1	2.065033E2	8.609375E1	2.271643E2	8.609375E1	6.262275E-1	8.609375E1	7.543587E2	8.609375E1	2.122427E-1
8.792188E1	7.553881E2	8.792188E1	2.063628E2	8.792188E1	2.270174E2	8.792188E1	6.261433E-1	8.792188E1	7.543598E2	8.792188E1	2.122761E-1
8.975000E1	7.553816E2	8.975000E1	2.062241E2	8.975000E1	2.268744E2	8.975000E1	6.260204E-1	8.975000E1	7.543543E2	8.975000E1	2.123150E-1
9.157813E1	7.553840E2	9.157813E1	2.064033E2	9.157813E1	2.269980E2	9.157813E1	6.261601E-1	9.157813E1	7.543504E2	9.157813E1	2.122302E-1
9.340625E1	7.553813E2	9.340625E1	2.064888E2	9.340625E1	2.271395E2	9.340625E1	6.261743E-1	9.340625E1	7.543503E2	9.340625E1	2.121894E-1
9.525000E1	7.553931E2	9.525000E1	2.065394E2	9.525000E1	2.273740E2	9.525000E1	6.261692E-1	9.525000E1	7.543648E2	9.525000E1	2.124060E-1
9.707813E1	7.553964E2	9.707813E1	2.063702E2	9.707813E1	2.271298E2	9.707813E1	6.262106E-1	9.707813E1	7.543683E2	9.707813E1	2.124191E-1
9.890625E1	7.553855E2	9.890625E1	2.066483E2	9.890625E1	2.274826E2	9.890625E1	6.262623E-1	9.890625E1	7.543497E2	9.890625E1	2.123093E-1
1.007344E2	7.553846E2	1.007344E2	2.065112E2	1.007344E2	2.272543E2	1.007344E2	6.262151E-1	1.007344E2	7.543531E2	1.007344E2	2.123430E-1
1.025625E2	7.553722E2	1.025625E2	2.060353E2	1.025625E2	2.265491E2	1.025625E2	6.259250E-1	1.025625E2	7.543370E2	1.025625E2	2.122411E-1
1.043906E2	7.553811E2	1.043906E2	2.063491E2	1.043906E2	2.271276E2	1.043906E2	6.261400E-1	1.043906E2	7.543483E2	1.043906E2	2.123483E-1
1.062188E2	7.553810E2	1.062188E2	2.061570E2	1.062188E2	2.267607E2	1.062188E2	6.260081E-1	1.062188E2	7.543506E2	1.062188E2	2.123160E-1
1.080625E2	7.553770E2	1.080625E2	2.061960E2	1.080625E2	2.268126E2	1.080625E2	6.260614E-1	1.080625E2	7.543484E2	1.080625E2	2.122441E-1
1.098906E2	7.553794E2	1.098906E2	2.059770E2	1.098906E2	2.266006E2	1.098906E2	6.258759E-1	1.098906E2	7.543472E2	1.098906E2	2.124101E-1
1.117188E2	7.553845E2	1.117188E2	2.058062E2	1.117188E2	2.263924E2	1.117188E2	6.257411E-1	1.117188E2	7.543572E2	1.117188E2	2.124251E-1
1.135469E2	7.553749E2	1.135469E2	2.060308E2	1.135469E2	2.266558E2	1.135469E2	6.258971E-1	1.135469E2	7.543438E2	1.135469E2	2.123172E-1
1.153750E2	7.553816E2	1.153750E2	2.059288E2	1.153750E2	2.265232E2	1.153750E2	6.259119E-1	1.153750E2	7.543542E2	1.153750E2	2.123192E-1
1.172031E2	7.553812E2	1.172031E2	2.058076E2	1.172031E2	2.263967E2	1.172031E2	6.257919E-1	1.172031E2	7.543530E2	1.172031E2	2.124153E-1
1.190313E2	7.553813E2	1.190313E2	2.060589E2	1.190313E2	2.268292E2	1.190313E2	6.259632E-1	1.190313E2	7.543499E2	1.190313E2	2.124387E-1
1.208594E2	7.553768E2	1.208594E2	2.059667E2	1.208594E2	2.265931E2	1.208594E2	6.258844E-1	1.208594E2	7.543445E2	1.208594E2	2.123471E-1
1.226875E2	7.553771E2	1.226875E2	2.058017E2	1.226875E2	2.264033E2	1.226875E2	6.258310E-1	1.226875E2	7.543481E2	1.226875E2	2.123929E-1
1.245313E2	7.553746E2	1.245313E2	2.056938E2	1.245313E2	2.263423E2	1.245313E2	6.257306E-1	1.245313E2	7.543423E2	1.245313E2	2.124720E-1
1.263594E2	7.553861E2	1.263594E2	2.058094E2	1.263594E2	2.265036E2	1.263594E2	6.257270E-1	1.263594E2	7.543602E2	1.263594E2	2.124855E-1
1.281875E2	7.553857E2	1.281875E2	2.060062E2	1.281875E2	2.266274E2	1.281875E2	6.259584E-1	1.281875E2	7.543573E2	1.281875E2	2.123787E-1
1.300156E2	7.553884E2	1.300156E2	2.059422E2	1.300156E2	2.266968E2	1.300156E2	6.258255E-1	1.300156E2	7.543642E2	1.300156E2	2.124839E-1
1.318438E2	7.553773E2	1.318438E2	2.059216E2	1.318438E2	2.268315E2	1.318438E2	6.259038E-1	1.318438E2	7.543449E2	1.318438E2	2.125317E-1
1.336719E2	7.553737E2	1.336719E2	2.058093E2	1.336719E2	2.265520E2	1.336719E2	6.258154E-1	1.336719E2	7.543425E2	1.336719E2	2.124455E-1
1.355000E2	7.553735E2	1.355000E2	2.060671E2	1.355000E2	2.268881E2	1.355000E2	6.259201E-1	1.355000E2	7.543356E2	1.355000E2	2.124812E-1
1.373281E2	7.553672E2	1.373281E2	2.057439E2	1.373281E2	2.265707E2	1.373281E2	6.256624E-1	1.373281E2	7.543378E2	1.373281E2	2.124084E-1
1.391563E2	7.553721E2	1.391563E2	2.058250E2	1.391563E2	2.267368E2	1.391563E2	6.257314E-1	1.391563E2	7.543390E2	1.391563E2	2.125022E-1
1.410000E2	7.553780E2	1.410000E2	2.056870E2	1.410000E2	2.263972E2	1.410000E2	6.255654E-1	1.410000E2	7.543530E2	1.410000E2	2.125532E-1
1.428281E2	7.553765E2	1.428281E2	2.059516E2	1.428281E2	2.267292E2	1.428281E2	6.258208E-1	1.428281E2	7.543437E2	1.428281E2	2.124944E-1
